date,AAPL,AMZN,ANSS,ATVI,CELG,ISRG,MNST,MSFT,NFLX
2004-01-01,0.004214385887096775,-0.0020309417741935475,-0.0011171645322580646,-0.0016688171935483863,5.338266129032232e-05,-0.00036792359677419314,0.0027208193709677415,-0.0024241069193548384,0.0009527735967741934
2004-04-01,0.0030018129032258058,0.0044445167580645165,0.003972285451612903,-0.0017210064193548375,0.005212804483870968,-0.00036705193548387046,0.008443933935483872,0.0016459999838709678,-0.0005676388548387111
2004-07-01,0.004769516296875,-0.002720473062500002,0.003037302484375,-0.002460112781249999,0.0011605933437499995,0.0015547113593749997,-0.000898899843750001,-0.0007845126250000001,-0.011097527890624998
2004-10-01,0.002117685234375001,0.0008118465937499994,0.0024855190625000002,0.0030240354375,-0.002328182265625,0.005274518562500003,0.0019734992187499995,0.00044587346875,-0.005477016343749998
2005-01-01,-0.0016620629344262295,0.00068173468852459,-0.0029936519836065564,0.0010777489672131148,0.0007354121639344263,-0.0016923712131147537,0.0038056232459016395,-0.001957786213114755,-0.0075416385573770514
2005-04-01,-0.001974553796875,0.0005372636562499997,0.00019052542187499965,8.010432812500048e-05,-0.0014198571875000002,-0.00023249292187499997,7.405579687499975e-05,0.0009405083750000001,0.004439491718749999
2005-07-01,0.004128967265625001,0.004679618671875,0.0017921956406250009,0.0035944389218749992,0.004435709734374997,0.005077846281249998,-0.0006610946718749995,0.0006388169062499999,0.0030892644843749997
2005-10-01,0.0024377338095238096,0.0013762613650793645,0.0014120519047619048,-0.0037642614444444436,-0.00025010677777777794,0.001139828523809523,0.0027316466825396814,0.00011740712698412685,-0.000864181317460318
2006-01-01,-0.00586684801612903,-0.0003916083870967743,0.005793837725806452,0.0006892000322580642,0.0042688292096774196,0.0006881283870967745,0.0024929196935483872,0.0016903439193548385,0.0012837006612903224
2006-04-01,-0.005844633968253967,0.0013996539841269842,-0.0013271109999999995,-0.0047177796666666655,-0.0029466706190476206,-0.004190016380952381,0.0010057032222222217,-0.0020962764920634917,-0.0018908401904761908
2006-07-01,0.0012597905555555558,-0.00044736539682539565,-5.277079365079454e-05,0.0022356905714285714,-0.0005789000634920636,-0.0008859828730158723,-0.005122699015873016,0.001286108761904762,-0.0006058723968253957
2006-10-01,-0.00022820799999999998,0.003625946571428571,0.00043375420634920645,0.00031577433333333354,0.003230192714285713,-0.000639744714285714,0.002160033968253969,0.0023183448571428567,0.0002533351904761904
2007-01-01,-6.168857377049177e-05,0.0014350939180327873,0.002464704852459017,8.559098360656038e-06,-0.0002984696065573771,0.0013962900163934427,0.0008125772622950831,-0.0005185098196721311,-0.0036430147213114762
2007-04-01,-0.00016606094126984215,0.006123867999999997,3.870238095238105e-05,-0.0002947859682539682,3.4223047619048286e-05,0.000589310173015873,0.003705895380952381,0.0013079027936507938,0.00013272125396825428
2007-07-01,-0.0006473979999999994,0.0010252972380952387,0.002862864984126985,0.001271660158730159,0.003325478365079365,0.0033346850111111107,0.0004363644761904756,0.0007993438253968255,-0.00018897431746031656
